depth,phi,theta
2765,32349,9045
2637,32284,9236
2634,32591,8693
2686,32534,8870
2743,32482,9048
2670,32421,9240
2618,32718,8694
2659,32665,8872
2713,32615,9051
2703,32559,9245
2600,32845,8694
2637,32795,8874
2692,32750,9054
2730,32696,9249
2572,32973,8695
2617,32926,8876
2663,32884,9057
2717,32833,9252
2559,33100,8696
2599,33056,8878
2739,33017,9059
2823,32970,9256
2713,33227,8697
3030,33187,8880
2985,33150,9062
2759,33108,9259
2602,33354,8698
2644,33317,8882
2682,33284,9065
2731,33244,9263
2597,33480,8699
2628,33447,8884
2672,33418,9067
2716,33381,9266
2671,33607,8701
1934,33576,8886
1863,33552,9070
2690,33520,9269
2725,33735,8703
1970,33709,8889
1879,33686,9073
1792,33658,9272
2797,33862,8704
2013,33839,8891
1913,33821,9075
1823,33795,9275
2851,33989,8706
2058,33969,8893
1499,33954,9078
1470,33933,9278
1471,34115,8709
1464,34100,8896
1488,34088,9080
1493,34069,9280
1490,34242,8711
1477,34230,8898
1501,34221,9083
1524,34208,9282
2987,34368,8713
1501,34359,8901
1512,34355,9085
1542,34345,9284
3046,34495,8716
1508,34489,8903
1543,34489,9088
1560,34483,9287
2974,34623,8719
1547,34620,8906
1556,34624,9090
1575,34622,9289
2562,34749,8722
1570,34752,8909
1576,34757,9092
1594,34760,9291
2496,34876,8725
2520,34882,8912
1575,34892,9095
1606,34897,9292
2492,35003,8728
2536,35012,8914
1598,35026,9097
1603,35034,9294
2511,35129,8731
2529,35141,8917
2558,35159,9099
1608,35173,9295
2504,35255,8735
2526,35272,8920
2558,35292,9101
1607,35310,9297
2501,35383,8738
2528,35404,8923
2600,35427,9104
2723,35449,9298
2498,35510,8742
2531,35534,8926
2679,35562,9106
2725,35587,9299
2506,35637,8746
2657,35664,8929
2687,35696,9108
2730,35726,9300
2726,35763,8750
2666,35795,8933
2683,35829,9110
2742,35863,9301
2797,35889,8754
2658,35925,8936
2733,35965,9112
2761,1,9301
2805,17,8759
2688,55,8939
2738,98,9114
2740,138,9302
2992,143,8763
2839,186,8942
2757,232,9116
2746,279,9302
2981,271,8768
2985,318,8946
2846,367,9118
2797,416,9302
2941,397,8773
3017,448,8949
3056,502,9120
2837,554,9302
3000,525,8778
3012,578,8953
3061,636,9121
3009,693,9303
3005,652,8783
3044,709,8956
3269,769,9123
3173,829,9302
3003,778,8788
3228,840,8960
3296,903,9125
3151,967,9302
3090,905,8793
3265,970,8963
3310,1038,9127
3257,1105,9301
3240,1032,8799
3285,1100,8967
3345,1172,9128
3403,1244,9301
3262,1160,8805
3313,1232,8971
3387,1307,9130
3443,1382,9300
3288,1287,8811
3350,1363,8975
3420,1441,9131
3474,1520,9299
3328,1414,8816
3383,1494,8978
3444,1576,9133
3522,1658,9298
3359,1542,8822
3417,1624,8982
3494,1710,9134
3559,1795,9297
3395,1669,8829
3467,1754,8986
3530,1843,9136
3520,1934,9296
3434,1796,8835
3504,1886,8990
3556,1977,9137
3497,2071,9295
3470,1924,8841
3541,2018,8994
3482,2112,9139
3550,2210,9294
3520,2051,8848
3519,2149,8998
3526,2246,9140
3559,2347,9292
3547,2180,8854
3485,2279,9002
3577,2381,9141
3488,2485,9290
3473,2307,8861
3548,2411,9006
3538,2515,9142
3406,2623,9288
3512,2434,8868
3573,2542,9010
3462,2650,9144
3539,2760,9286
3565,2563,8875
3493,2672,9014
3436,2784,9145
3610,2899,9285
3541,2690,8882
3412,2804,9018
3577,2918,9146
3676,3036,9282
3472,2818,8889
3556,2935,9022
3647,3053,9147
3758,3173,9280
0,2947,8896
3612,3066,9026
3720,3187,9148
3849,3311,9278
3580,3075,8903
3685,3198,9030
3811,3321,9149
3947,3448,9275
3641,3204,8911
3765,3330,9035
3899,3455,9150
4032,3587,9273
3727,3332,8918
3852,3461,9039
3995,3591,9151
4147,3724,9270
3812,3461,8926
3947,3592,9043
4080,3725,9152
4261,3862,9267
3903,3589,8934
4071,3725,9048
4211,3858,9153
4946,3998,9265
4010,3718,8941
4123,3855,9052
4409,3992,9153
5102,4135,9262
4100,3847,8949
4270,3987,9056
4981,4127,9154
5240,4271,9258
4218,3976,8957
4895,4119,9060
5154,4261,9155
5420,4409,9255
4342,4105,8965
5094,4252,9065
5346,4396,9156
5614,4547,9252
5042,4234,8973
5266,4383,9069
5519,4531,9156
5810,4684,9249
5191,4364,8982
5440,4514,9073
5721,4665,9157
6041,4820,9246
5378,4493,8990
5641,4646,9078
5953,4799,9157
6292,4957,9242
0,4622,8998
0,4779,9082
6202,4933,9158
0,5093,9238
0,4753,9006
0,4910,9086
0,5068,9158
0,5229,9235
