depth,phi,theta
2201,10725,5848
2239,10883,5746
2293,11045,5635
2177,10690,5955
2228,10858,5853
2269,11011,5747
2326,11168,5634
2205,10828,5962
2251,10991,5857
2298,11138,5749
2351,11291,5632
2225,10967,5970
2271,11124,5862
2332,11267,5750
2382,11413,5630
2253,11105,5978
2307,11257,5866
2362,11395,5751
2408,11537,5628
2281,11243,5985
2339,11390,5871
2388,11522,5753
2437,11659,5626
2308,11382,5992
2371,11523,5875
2426,11651,5754
2482,11781,5625
2350,11520,5999
2404,11657,5879
2457,11778,5756
2510,11904,5623
2392,11658,6006
2437,11790,5883
2486,11907,5757
2549,12026,5622
2423,11797,6013
2478,11923,5887
2534,12034,5758
2596,12147,5620
2475,11936,6020
2517,12056,5891
2576,12162,5760
2632,12270,5619
2514,12074,6026
2564,12189,5895
2624,12290,5762
2673,12392,5618
2556,12213,6033
2602,12322,5899
2663,12418,5763
2715,12513,5617
2608,12351,6039
2657,12455,5902
2715,12545,5764
2775,12636,5615
2654,12490,6045
2699,12589,5906
2762,12673,5765
2819,12757,5614
2703,12629,6051
2757,12722,5910
2820,12801,5767
2879,12879,5614
2766,12767,6057
2816,12855,5913
2881,12928,5769
2933,13001,5613
2828,12906,6063
2873,12988,5917
2946,13057,5770
3001,13122,5612
2903,13045,6068
2949,13121,5920
3013,13184,5772
3059,13243,5611
2970,13184,6073
3022,13254,5924
3079,13311,5773
3138,13365,5611
3048,13322,6079
2160,13388,5927
3164,13438,5775
3209,13486,5611
2220,13461,6084
2138,13521,5930
3227,13567,5776
3276,13609,5611
2201,13599,6089
2116,13654,5934
2029,13694,5778
3373,13730,5610
2183,13738,6093
2091,13787,5936
2022,13822,5780
3459,13851,5610
2156,13877,6098
2081,13920,5939
2041,13949,5781
3550,13972,5611
2131,14015,6103
2064,14054,5943
2010,14076,5783
3655,14094,5610
2121,14154,6107
2034,14186,5946
1992,14204,5784
3756,14214,5611
2106,14293,6111
2016,14319,5948
1970,14332,5786
3871,14335,5611
2079,14431,6115
2007,14453,5951
1957,14459,5788
4032,14457,5612
2064,14569,6119
1995,14585,5954
1936,14587,5790
4160,14578,5612
2039,14708,6123
1976,14718,5957
1921,14714,5791
4311,14700,5613
2021,14846,6126
1969,14852,5959
1910,14841,5793
4462,14821,5614
2009,14984,6130
1947,14984,5962
1896,14968,5794
4534,14942,5615
1989,15123,6133
1930,15117,5964
1879,15096,5797
0,15063,5616
1989,15261,6136
1921,15250,5967
1872,15223,5798
0,15185,5617
1970,15400,6139
1909,15383,5969
1859,15351,5801
0,15306,5619
1938,15537,6142
1895,15515,5971
1847,15479,5802
0,15428,5621
1941,15675,6145
1880,15649,5974
1842,15606,5804
0,15549,5622
1922,15814,6147
1870,15781,5976
1831,15734,5806
0,15670,5623
1915,15951,6150
1861,15913,5977
1822,15861,5808
0,15791,5625
1909,16089,6152
1853,16047,5980
1813,15988,5810
0,15913,5628
1888,16226,6154
1843,16179,5982
1804,16116,5812
0,16035,5629
1884,16364,6156
1826,16311,5984
1793,16243,5814
0,16157,5632
1876,16501,6157
1830,16444,5985
1782,16370,5816
0,16278,5634
1859,16639,6159
1813,16576,5987
1773,16498,5819
0,16400,5637
1857,16776,6161
1804,16708,5989
1773,16625,5821
0,16521,5639
1848,16913,6162
1801,16841,5991
1767,16752,5823
0,16644,5642
1838,17050,6163
1794,16973,5992
1759,16880,5825
4365,16765,5645
1830,17188,6164
1790,17106,5994
1756,17008,5827
4344,16888,5648
1821,17324,6165
1781,17238,5996
1742,17136,5830
4342,17010,5651
1807,17462,6166
1776,17370,5997
1750,17263,5832
4316,17133,5655
1794,17598,6166
1762,17502,5998
1732,17390,5835
4305,17255,5658
1783,17734,6167
1756,17634,6000
1722,17517,5837
4288,17377,5661
1778,17871,6167
1754,17766,6001
0,17645,5839
4278,17499,5665
1770,18007,6167
1742,17897,6002
0,17773,5842
4260,17622,5669
1768,18144,6168
1744,18029,6003
0,17901,5845
4257,17745,5673
1765,18279,6167
1723,18162,6005
4316,18028,5847
4249,17868,5677
1758,18415,6167
1724,18293,6006
4312,18156,5850
4232,17991,5681
1754,18551,6167
1744,18424,6007
4296,18283,5852
4224,18113,5685
1750,18687,6166
1762,18556,6008
4293,18410,5855
4225,18237,5690
1748,18822,6166
3718,18688,6009
4279,18538,5857
4211,18360,5694
0,18958,6165
3621,18820,6010
3968,18666,5860
4204,18484,5699
0,19093,6164
3620,18951,6011
3587,18794,5863
4193,18608,5704
3682,19228,6163
3618,19082,6012
3551,18922,5866
3876,18732,5709
4391,19363,6162
3609,19214,6013
3552,19049,5868
3535,18855,5713
4407,19497,6161
3612,19345,6013
3546,19177,5871
3490,18979,5719
4395,19631,6159
3440,19475,6014
3547,19304,5874
3488,19103,5724
4402,19766,6158
4314,19606,6014
3848,19433,5877
3498,19228,5730
4409,19900,6157
4315,19738,6015
3478,19561,5880
3498,19352,5734
4393,20035,6155
4317,19868,6016
4238,19689,5883
3496,19477,5740
4407,20169,6153
4310,20000,6017
4233,19816,5886
4168,19602,5746
0,20303,6152
4310,20130,6017
4242,19944,5889
4181,19727,5752
4400,20436,6150
4321,20260,6018
4251,20072,5892
4171,19852,5757
4402,20569,6148
4316,20391,6018
4248,20200,5895
4184,19977,5764
4397,20703,6146
4319,20523,6019
4253,20329,5899
4186,20104,5770
4405,20836,6143
4336,20653,6019
4253,20457,5902
4183,20229,5776
4417,20969,6141
4340,20783,6020
4260,20585,5905
4200,20354,5782
4425,21102,6139
4340,20914,6021
4276,20713,5909
4198,20480,5788
4430,21234,6136
4360,21043,6020
4285,20841,5912
4206,20607,5795
4434,21366,6134
4353,21173,6021
4281,20969,5915
4215,20733,5802
4435,21498,6131
4361,21303,6021
4295,21098,5919
4222,20860,5808
4455,21630,6128
4378,21434,6022
4302,21227,5922
4243,20986,5815
4465,21762,6126
4390,21563,6022
4315,21355,5926
4250,21114,5822
4478,21894,6123
4401,21694,6022
4330,21483,5929
4249,21241,5829
4484,22025,6120
4410,21823,6023
4341,21611,5932
4276,21368,5836
3757,22156,6117
4421,21952,6023
4352,21740,5936
4280,21495,5843
3773,22287,6114
3700,22082,6023
3682,21868,5940
4302,21623,5850
3754,22418,6111
3725,22212,6023
3674,21997,5943
3624,21751,5858
3572,22549,6108
3733,22342,6024
3666,22126,5947
3624,21879,5865
3703,22680,6105
3754,22471,6024
3680,22255,5951
3639,22007,5872
3838,22810,6101
3684,22600,6025
3707,22383,5955
3647,22136,5880
4079,22939,6098
3540,22729,6024
3720,22512,5958
3668,22264,5888
4409,23069,6095
3981,22858,6025
3734,22641,5962
3690,22393,5895
4655,23199,6091
4302,22987,6025
3535,22770,5966
3700,22522,5903
4683,23329,6088
4601,23116,6025
3499,22899,5970
3740,22651,5910
4711,23458,6085
4622,23246,6026
4481,23028,5973
3634,22781,5919
4744,23587,6081
4666,23374,6026
4574,23157,5977
3498,22911,5926
4768,23716,6078
4685,23503,6026
4603,23286,5982
4532,23040,5934
4788,23845,6074
4708,23631,6026
4639,23415,5986
4565,23169,5941
4826,23973,6071
4749,23760,6027
4663,23544,5989
4592,23300,5950
4857,24101,6067
4777,23889,6027
4705,23674,5993
4627,23431,5958
4889,24230,6064
4807,24017,6027
4724,23803,5998
4664,23561,5966
4872,24358,6060
4831,24146,6028
4772,23932,6002
4696,23693,5974
4847,24485,6057
4879,24274,6028
4797,24061,6005
4731,23823,5982
4815,24613,6054
4868,24402,6028
4848,24190,6010
4772,23954,5990
4796,24740,6050
4849,24530,6029
4877,24320,6014
4810,24085,5998
4763,24867,6046
4812,24657,6028
4867,24450,6018
4846,24217,6007
4747,24994,6043
4787,24787,6030
4840,24580,6022
4885,24349,6015
4720,25121,6040
4756,24914,6030
4807,24710,6027
4864,24480,6023
4704,25248,6036
4742,25042,6030
4771,24839,6031
4817,24612,6031
4697,25374,6032
4710,25170,6031
4744,24969,6035
4785,24744,6039
4668,25499,6029
4695,25298,6031
4725,25098,6039
4754,24877,6048
4673,25625,6026
4682,25425,6032
4690,25228,6044
4728,25009,6056
4675,25751,6023
4666,25552,6032
4676,25359,6048
4691,25142,6064
4663,25877,6019
4658,25680,6033
4655,25488,6053
4657,25275,6073
4664,26003,6016
4643,25808,6034
4639,25618,6057
4643,25408,6081
4666,26127,6013
4638,25935,6034
4622,25749,6061
4624,25541,6089
4681,26253,6010
4642,26062,6035
4611,25878,6066
4594,25674,6097
4686,26377,6006
4647,26189,6035
4616,26008,6070
4586,25808,6106
4713,26502,6003
4684,26317,6036
4669,26138,6074
4628,25941,6114
4727,26627,6000
4731,26445,6037
4690,26269,6079
4651,26076,6123
4648,26751,5997
4772,26572,6038
4749,26400,6083
4754,26209,6131
4596,26876,5994
4684,26698,6039
4814,26530,6088
4809,26344,6139
4637,26999,5991
4638,26826,6040
4758,26660,6092
4866,26478,6147
4588,27124,5989
4688,26953,6041
4663,26791,6097
4933,26612,6155
4645,27247,5986
4671,27080,6042
4737,26921,6101
4654,26747,6164
4779,27370,5983
4795,27206,6043
4762,27052,6106
4807,26881,6172
4867,27494,5981
4775,27333,6043
4862,27182,6110
4884,27016,6180
5156,27617,5978
4896,27460,6045
4940,27312,6114
4956,27151,6188
5227,27740,5976
0,27587,6046
5030,27444,6119
5030,27286,6196
5297,27863,5973
5315,27713,6047
6253,27574,6124
5098,27422,6204
4935,27985,5971
6409,27840,6048
6301,27704,6128
6177,27557,6212
5444,28109,5969
5000,27967,6050
5144,27836,6133
6226,27692,6219
5532,28231,5967
6529,28094,6051
6396,27966,6137
5156,27828,6228
5589,28354,5965
6602,28220,6052
6461,28098,6142
6319,27963,6235
5664,28476,5963
6665,28347,6054
6515,28228,6146
6371,28100,6243
5778,28597,5961
6749,28473,6056
6575,28359,6151
6442,28235,6251
7021,28720,5960
